id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id
6958,1769872693.0438,27.0712,28.8931,0.43042,-0.130127,-1.14795,-4.15267,-6.26718,-18.4733,HIGH,v5_stream
6959,1769872693.0438,27.0712,11.0153,0.533691,0.133057,-1.021,-0.648855,2.84733,-7.51908,HIGH,v5_stream
6960,1769872693.4168,27.0712,10.2824,-0.0397949,0.202881,-1.05591,2.54198,-0.175573,-7.56489,HIGH,v5_stream
6961,1769872694.4168,27.1182,20.3435,0.173096,-0.0300293,-1.09521,0.847328,-1.54198,-17.9542,HIGH,v5_stream
6962,1769872694.4168,27.0241,26.1832,0.265869,0.0310059,-1.16821,0.175573,0.839695,-25.1679,HIGH,v5_stream
6963,1769872694.4168,27.0712,31.7786,0.25415,0.266357,-1.05811,1.0458,-1.91603,-28.8168,HIGH,v5_stream
6964,1769872694.4168,27.0712,28.9466,0.364014,0.186035,-1.04663,0.78626,-0.221374,-27.9389,HIGH,v5_stream
6965,1769872695.6731,27.1182,14.8168,0.439697,0.118896,-1.08545,-1.78626,5.61832,7.41221,HIGH,v5_stream
6966,1769872695.6731,27.0712,16.6031,0.359131,-0.120117,-1.08545,-4.22137,-2.06107,10.3206,HIGH,v5_stream
6967,1769872695.6731,27.1653,18.6794,0.209961,0.0708008,-1.05005,-0.89313,7.1374,10.6489,HIGH,v5_stream
6968,1769872695.6731,27.0712,8.03053,0.0302734,0.0551758,-1.01465,1.08397,1.51145,5.43511,HIGH,v5_stream
6969,1769872695.6731,27.0241,3.62595,0.104492,-0.0805664,-1.08984,-0.854962,-1.94656,-0.824427,HIGH,v5_stream
6970,1769872695.9231,27.0241,10.5725,0.316895,0.171875,-1.05273,0.832061,-2.77863,-6.96183,HIGH,v5_stream
6971,1769872695.9231,27.0712,12.1069,0.267578,0.304688,-1.04199,1.64122,-1.00763,-9.45802,HIGH,v5_stream
6972,1769872695.9231,27.0712,7.05344,0.159668,0.275879,-1.06616,0.816794,-2.22137,-4.01527,HIGH,v5_stream
6973,1769872696.9231,27.0712,17.1221,0.29541,0.0236816,-1.09546,-3.61069,-5.74809,7.76336,HIGH,v5_stream
6974,1769872696.9231,27.1182,23.5954,0.413574,0.117432,-1.03638,-4.29008,-0.877863,18.4275,HIGH,v5_stream
6975,1769872697.2173,27.0241,20.8397,0.197754,0.140381,-1.16187,-2.49618,-6.38931,11.9542,HIGH,v5_stream
6976,1769872697.2173,27.1653,26.0687,0.363281,-0.098877,-1.05688,-5.12977,-0.114504,20.8244,HIGH,v5_stream
6977,1769872698.2173,27.0241,36.9847,0.602539,0.182861,-1.05029,-2.38931,3.55725,31.0382,HIGH,v5_stream
6978,1769872698.2173,27.1182,45.3282,0.64502,0.015625,-1.05347,-1.22901,5.44275,38.6565,HIGH,v5_stream
6979,1769872698.2173,27.0712,45.7939,0.449463,-0.170166,-1.05054,-2.90076,-0.0763359,42.8168,HIGH,v5_stream
6980,1769872699.5062,27.0241,3.78626,0.323242,0.269531,-1.06982,-0.923664,-0.916031,1.94656,HIGH,v5_stream
6981,1769872699.5062,27.0712,8.93893,0.469971,0.0195312,-1.10718,-3.22901,-3.64885,-2.06107,HIGH,v5_stream
6982,1769872699.5062,27.0712,3.53435,0.347168,-0.0532227,-1.07593,-2.55725,0.290076,-0.687023,HIGH,v5_stream
6983,1769872699.5062,27.0712,14.3588,0.168457,-0.0751953,-1.16431,-2.51908,-3.61069,8.22901,HIGH,v5_stream
6984,1769872699.5062,26.9771,27.5573,0.37793,-0.305176,-1.1145,-4.48092,-3.45038,19.626,HIGH,v5_stream
6985,1769872699.7715,27.0712,42.3282,0.31543,-0.192383,-1.04541,-0.549618,4.22137,37.5573,HIGH,v5_stream
6986,1769872699.7715,27.1182,39.7099,0.0461426,-0.0893555,-1.07007,0.221374,6.34351,33.145,HIGH,v5_stream
6987,1769872699.7715,27.0712,32.2366,-0.109131,-0.148926,-1.03955,0.740458,4.90076,26.5954,HIGH,v5_stream
6988,1769872699.7715,27.1182,15.2443,-0.046875,-0.17334,-1.12378,-0.946565,-0.335878,13.9618,HIGH,v5_stream
