id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id,timestamp_iso
236,1769901670.1494,28.2947,10.8702,0.336182,0.130127,-1.05542,-1.30534,-1.77099,7.79389,LOW,v5_stream,2026-01-31T23:21:10.149399Z
233,1769901670.2831,28.3418,3.21374,0.297852,0.231201,-1.02856,-0.29771,1.70992,1.20611,LOW,v5_stream,2026-01-31T23:21:10.283099Z
237,1769901670.3494,28.3418,21.9466,0.22998,0.128174,-1.0769,-0.244275,0.183206,21.5191,LOW,v5_stream,2026-01-31T23:21:10.349400Z
234,1769901670.4831,28.2006,16.7252,0.244141,0.0683594,-1.1272,-0.740458,-0.541985,15.4427,LOW,v5_stream,2026-01-31T23:21:10.483099Z
238,1769901670.5494,28.2476,20.313,0.323242,0.0124512,-1.05225,-2.26718,3.07634,14.9695,LOW,v5_stream,2026-01-31T23:21:10.549400Z
235,1769901670.6831,28.2947,22.5191,0.244385,0.0957031,-1.11523,-2.49618,3.18321,16.8397,LOW,v5_stream,2026-01-31T23:21:10.683099Z
239,1769901670.7494,28.2947,11.145,0.365479,0.10498,-1.07666,-1.36641,-1.10687,8.67176,LOW,v5_stream,2026-01-31T23:21:10.749399Z
241,1769901671.4419,28.2006,17.3969,0.313721,0.145508,-1.06128,0.480916,1.83969,15.0763,LOW,v5_stream,2026-01-31T23:21:11.441900Z
242,1769901671.6419,28.2947,27.5038,0.307861,-0.1521,-1.0896,-1.46565,0.992366,25.0458,LOW,v5_stream,2026-01-31T23:21:11.641900Z
240,1769901671.9494,28.2476,25.0992,0.268799,0.0986328,-1.08643,-0.175573,-0.328244,24.5954,LOW,v5_stream,2026-01-31T23:21:11.949399Z
246,1769901672.6881,28.2476,15.3817,0.323242,-0.0437012,-1.08569,-2.44275,-1.81679,11.1221,LOW,v5_stream,2026-01-31T23:21:12.688100Z
243,1769901672.8419,28.3418,14.2443,0.373779,-0.015625,-1.05981,-2.9542,-0.900763,10.3893,LOW,v5_stream,2026-01-31T23:21:12.841900Z
244,1769901673.0419,28.3418,17.458,0.333008,0.095459,-1.07324,0.267176,0.534351,16.6565,LOW,v5_stream,2026-01-31T23:21:13.041899Z
245,1769901673.2419,28.2476,29.542,0.279541,-0.192383,-1.07153,-1.75573,1.36641,26.4198,LOW,v5_stream,2026-01-31T23:21:13.241899Z
247,1769901673.8881,28.2476,27.9008,0.220947,-0.0773926,-1.09106,-1.82443,0.755725,25.3206,LOW,v5_stream,2026-01-31T23:21:13.888099Z
